,date,previous_home_fixture,home_team,home_team_id,away_team,away_team_id,previous_away_fixture,last_home_goals,last_away_goals,last_home_shots_on_goal,last_home_shots_off_goal,last_home_total_shots,last_home_blocked_shots,last_home_shots_insidebox,last_home_shots_outsidebox,last_home_fouls,last_home_cornerkicks,last_home_offsides,last_home_ballpossession,last_home_yellowcards,last_home_redcards,last_home_gk_saves,last_home_pass_accuracy,last_away_shots_on_goal,last_away_shots_off_goal,last_away_total_shots,last_away_blocked_shots,last_away_shots_insidebox,last_away_shots_outsidebox,last_away_fouls,last_away_cornerkicks,last_away_offsides,last_away_ballpossession,last_away_yellowcards,last_away_redcards,last_away_gk_saves,last_away_pass_accuracy,result
1475,2019-05-12T14:00:00+00:00,425,Brighton,51,Manchester City,50,431,1,1,5.0,4.0,11.0,2.0,8.0,3.0,14.0,3.0,4.0,0.3,2.0,0.0,6.0,0.7276595744680852,5.0,10.0,19.0,4.0,7.0,12.0,12.0,11.0,2.0,0.61,3.0,0.0,2.0,0.8679245283018868,-1.0
740,2017-08-19T14:00:00+00:00,11911,Leicester,46,Brighton,51,11904,3,0,3.0,3.0,6.0,0.0,5.0,1.0,12.0,4.0,3.0,0.3,1.0,0.0,6.0,0.6349809885931559,2.0,2.0,6.0,2.0,4.0,2.0,6.0,3.0,6.0,0.21,0.0,0.0,3.0,0.6103286384976526,1.0
752,2017-08-26T14:00:00+00:00,11896,Watford,38,Brighton,51,11898,2,0,7.0,7.0,19.0,5.0,13.0,6.0,14.0,5.0,7.0,0.45,3.0,0.0,2.0,0.7840236686390533,2.0,0.0,5.0,3.0,1.0,4.0,10.0,2.0,2.0,0.55,0.0,0.0,2.0,0.8269961977186312,0.0
768,2017-09-15T19:00:00+00:00,11876,Bournemouth,35,Brighton,51,11877,0,3,2.0,5.0,7.0,0.0,6.0,1.0,10.0,3.0,0.0,0.42,1.0,0.0,6.0,0.7256857855361596,6.0,3.0,12.0,3.0,3.0,9.0,9.0,2.0,1.0,0.48,2.0,0.0,2.0,0.8102678571428571,1.0
795,2017-10-01T11:00:00+00:00,11852,Arsenal,42,Brighton,51,11853,2,1,6.0,6.0,16.0,4.0,10.0,6.0,8.0,7.0,0.0,0.6900000000000001,1.0,0.0,2.0,0.8731707317073171,3.0,2.0,7.0,2.0,5.0,2.0,6.0,2.0,1.0,0.48,2.0,0.0,5.0,0.773972602739726,1.0
808,2017-10-20T19:00:00+00:00,11836,West Ham,48,Brighton,51,11834,1,1,6.0,1.0,8.0,1.0,3.0,5.0,14.0,4.0,1.0,0.38,4.0,1.0,4.0,0.6631578947368421,3.0,3.0,12.0,6.0,8.0,4.0,12.0,7.0,5.0,0.46,4.0,0.0,5.0,0.7402597402597403,-1.0
829,2017-11-04T15:00:00+00:00,11816,Swansea,76,Brighton,51,11814,1,1,2.0,2.0,4.0,0.0,3.0,1.0,9.0,2.0,1.0,0.28,0.0,0.0,3.0,0.7266666666666667,2.0,4.0,7.0,1.0,6.0,1.0,9.0,2.0,0.0,0.51,3.0,0.0,0.0,0.8061224489795918,-1.0
852,2017-11-25T15:00:00+00:00,11794,Manchester United,33,Brighton,51,11792,4,2,7.0,6.0,16.0,3.0,14.0,2.0,10.0,11.0,1.0,0.64,1.0,0.0,4.0,0.8741935483870967,3.0,6.0,9.0,0.0,4.0,5.0,13.0,6.0,3.0,0.53,1.0,0.0,4.0,0.7878787878787878,1.0
880,2017-12-09T15:00:00+00:00,11766,Huddersfield,37,Brighton,51,11765,0,1,3.0,2.0,5.0,0.0,3.0,2.0,9.0,5.0,0.0,0.53,1.0,0.0,2.0,0.7095959595959596,2.0,3.0,6.0,1.0,6.0,0.0,8.0,2.0,0.0,0.42,1.0,0.0,2.0,0.8139059304703476,1.0
895,2017-12-13T20:00:00+00:00,11760,Tottenham,47,Brighton,51,11758,5,0,11.0,6.0,20.0,3.0,13.0,8.0,12.0,12.0,7.0,0.7000000000000001,1.0,0.0,2.0,0.8812785388127854,2.0,2.0,7.0,3.0,2.0,5.0,10.0,1.0,5.0,0.42,0.0,0.0,4.0,0.6828644501278772,1.0
920,2017-12-26T15:00:00+00:00,11730,Chelsea,49,Brighton,51,11724,0,1,8.0,9.0,25.0,8.0,11.0,14.0,4.0,7.0,4.0,0.68,0.0,0.0,0.0,0.8379970544918999,3.0,8.0,14.0,3.0,8.0,6.0,8.0,6.0,6.0,0.51,0.0,0.0,1.0,0.7699530516431925,1.0
931,2017-12-30T15:00:00+00:00,11713,Newcastle,34,Brighton,51,11716,0,0,2.0,3.0,6.0,1.0,3.0,3.0,11.0,3.0,4.0,0.22,1.0,0.0,5.0,0.5833333333333334,1.0,4.0,8.0,3.0,5.0,3.0,8.0,1.0,2.0,0.33,1.0,0.0,5.0,0.7741935483870968,0.0
948,2018-01-13T15:00:00+00:00,11697,West Brom,60,Brighton,51,11702,1,2,3.0,6.0,12.0,3.0,5.0,7.0,12.0,4.0,1.0,0.48,2.0,0.0,3.0,0.7917675544794189,6.0,3.0,15.0,6.0,10.0,5.0,13.0,5.0,1.0,0.49,2.0,0.0,6.0,0.7614213197969543,1.0
971,2018-01-31T19:45:00+00:00,11673,Southampton,41,Brighton,51,11681,1,0,4.0,5.0,10.0,1.0,4.0,7.0,8.0,2.0,2.0,0.41,2.0,0.0,1.0,0.6909620991253644,3.0,5.0,10.0,2.0,7.0,3.0,12.0,5.0,4.0,0.41,3.0,0.0,6.0,0.7928176795580111,0.0
990,2018-02-10T15:00:00+00:00,11656,Stoke City,75,Brighton,51,11657,1,3,4.0,6.0,13.0,3.0,9.0,4.0,19.0,1.0,6.0,0.43,3.0,0.0,5.0,0.6737804878048781,5.0,11.0,21.0,5.0,14.0,7.0,11.0,4.0,3.0,0.54,3.0,0.0,0.0,0.7477876106194691,0.0
1023,2018-03-10T15:00:00+00:00,11631,Everton,45,Brighton,51,11624,1,2,4.0,6.0,10.0,0.0,8.0,2.0,12.0,4.0,2.0,0.46,1.0,1.0,6.0,0.6666666666666666,6.0,5.0,13.0,2.0,8.0,5.0,13.0,6.0,6.0,0.31,3.0,0.0,6.0,0.7247386759581882,1.0
1054,2018-04-14T14:00:00+00:00,11591,Crystal Palace,52,Brighton,51,11592,2,1,6.0,3.0,13.0,4.0,7.0,6.0,9.0,3.0,1.0,0.48,2.0,0.0,3.0,0.797752808988764,4.0,6.0,13.0,3.0,9.0,5.0,13.0,5.0,3.0,0.4,1.0,1.0,4.0,0.65,1.0
1077,2018-04-28T14:00:00+00:00,11571,Burnley,44,Brighton,51,11577,1,1,7.0,5.0,16.0,4.0,11.0,5.0,5.0,8.0,0.0,0.58,1.0,0.0,2.0,0.7079439252336449,5.0,2.0,8.0,1.0,5.0,3.0,6.0,3.0,0.0,0.35000000000000003,1.0,0.0,5.0,0.7030812324929971,0.0
1095,2018-05-09T19:00:00+00:00,11612,Manchester City,50,Brighton,51,11616,2,0,6.0,8.0,17.0,3.0,12.0,5.0,8.0,10.0,4.0,0.78,0.0,0.0,1.0,0.8996458087367178,4.0,5.0,10.0,1.0,3.0,7.0,14.0,3.0,1.0,0.41,1.0,1.0,2.0,0.6291390728476821,1.0
1102,2018-05-13T14:00:00+00:00,11549,Liverpool,40,Brighton,51,11557,0,1,5.0,5.0,10.0,0.0,6.0,4.0,9.0,1.0,0.0,0.6900000000000001,2.0,0.0,3.0,0.8754914809960681,4.0,4.0,11.0,3.0,6.0,5.0,5.0,5.0,1.0,0.31,2.0,0.0,3.0,0.6996805111821086,1.0
1123,2018-08-25T16:30:00+00:00,84,Liverpool,40,Brighton,51,83,2,3,6.0,4.0,16.0,6.0,9.0,7.0,13.0,7.0,2.0,0.64,1.0,0.0,2.0,0.8944,3.0,3.0,6.0,0.0,5.0,1.0,16.0,3.0,2.0,0.33,1.0,0.0,1.0,0.6466431095406361,1.0
1147,2018-09-17T19:00:00+00:00,99,Southampton,41,Brighton,51,96,2,2,6.0,6.0,19.0,7.0,11.0,8.0,12.0,4.0,1.0,0.5,1.0,0.0,6.0,0.7706855791962175,5.0,7.0,15.0,3.0,12.0,3.0,12.0,7.0,2.0,0.41,3.0,0.0,3.0,0.7675675675675676,0.0
1162,2018-09-29T14:00:00+00:00,117,Manchester City,50,Brighton,51,122,5,1,10.0,4.0,21.0,7.0,18.0,3.0,4.0,9.0,1.0,0.79,1.0,0.0,2.0,0.90738423028786,4.0,3.0,8.0,1.0,4.0,4.0,15.0,5.0,2.0,0.28,2.0,0.0,5.0,0.7411764705882353,1.0
1182,2018-10-20T14:00:00+00:00,141,Newcastle,34,Brighton,51,135,2,1,8.0,5.0,13.0,0.0,8.0,5.0,8.0,6.0,0.0,0.27,2.0,0.0,7.0,0.581081081081081,4.0,4.0,9.0,1.0,6.0,3.0,12.0,2.0,5.0,0.35000000000000003,3.0,0.0,4.0,0.6808510638297872,-1.0
1201,2018-11-03T15:00:00+00:00,161,Everton,45,Brighton,51,155,1,1,6.0,7.0,14.0,1.0,9.0,5.0,12.0,4.0,0.0,0.47,1.0,0.0,8.0,0.8038740920096852,1.0,5.0,7.0,1.0,5.0,2.0,11.0,1.0,0.0,0.39,3.0,0.0,7.0,0.7237569060773481,1.0
1208,2018-11-10T12:30:00+00:00,167,Cardiff,43,Brighton,51,169,0,1,2.0,8.0,11.0,1.0,8.0,3.0,13.0,6.0,4.0,0.4,2.0,0.0,3.0,0.6125461254612546,3.0,0.0,5.0,2.0,3.0,2.0,17.0,4.0,2.0,0.39,1.0,0.0,0.0,0.6825396825396826,1.0
1231,2018-12-01T15:00:00+00:00,194,Huddersfield,37,Brighton,51,186,2,1,6.0,4.0,14.0,4.0,6.0,8.0,8.0,5.0,1.0,0.56,2.0,0.0,2.0,0.7934186471663621,3.0,8.0,14.0,3.0,9.0,5.0,10.0,6.0,5.0,0.54,3.0,0.0,2.0,0.7795823665893271,-1.0
1253,2018-12-08T15:00:00+00:00,207,Burnley,44,Brighton,51,206,1,3,6.0,3.0,10.0,1.0,5.0,5.0,10.0,5.0,6.0,0.25,1.0,0.0,8.0,0.5964912280701754,3.0,3.0,9.0,3.0,6.0,3.0,14.0,4.0,0.0,0.31,2.0,1.0,3.0,0.7026022304832714,1.0
1275,2018-12-22T15:00:00+00:00,234,Bournemouth,35,Brighton,51,225,0,1,3.0,5.0,13.0,5.0,7.0,6.0,7.0,3.0,0.0,0.63,2.0,0.0,2.0,0.8451816745655608,2.0,3.0,6.0,1.0,3.0,3.0,14.0,4.0,5.0,0.41,2.0,0.0,1.0,0.7978021978021979,1.0
1303,2019-01-02T19:45:00+00:00,256,West Ham,48,Brighton,51,255,0,1,4.0,2.0,11.0,5.0,8.0,3.0,11.0,5.0,1.0,0.5700000000000001,4.0,0.0,3.0,0.7505518763796909,3.0,3.0,11.0,5.0,8.0,3.0,10.0,6.0,2.0,0.44,0.0,0.0,4.0,0.7048710601719198,0.0
1321,2019-01-19T15:00:00+00:00,283,Manchester United,33,Brighton,51,275,1,0,8.0,3.0,13.0,2.0,9.0,4.0,8.0,4.0,1.0,0.39,2.0,0.0,11.0,0.7382920110192838,0.0,5.0,7.0,2.0,5.0,2.0,15.0,2.0,5.0,0.29,0.0,0.0,2.0,0.6810631229235881,1.0
1329,2019-01-29T19:45:00+00:00,287,Fulham,36,Brighton,51,290,1,1,4.0,5.0,12.0,3.0,7.0,5.0,10.0,7.0,7.0,0.26,2.0,0.0,3.0,0.689795918367347,3.0,3.0,7.0,1.0,5.0,2.0,11.0,5.0,2.0,0.44,0.0,0.0,4.0,0.7928388746803069,1.0
1368,2019-02-26T19:45:00+00:00,331,Leicester,46,Brighton,51,329,1,0,5.0,10.0,27.0,12.0,10.0,17.0,7.0,8.0,0.0,0.65,2.0,0.0,1.0,0.8484288354898336,1.0,2.0,3.0,0.0,1.0,2.0,9.0,1.0,2.0,0.32,0.0,0.0,1.0,0.7971428571428572,1.0
1387,2019-03-09T12:30:00+00:00,347,Crystal Palace,52,Brighton,51,346,3,1,4.0,4.0,10.0,2.0,5.0,5.0,9.0,5.0,0.0,0.44,2.0,0.0,3.0,0.6609195402298851,4.0,6.0,14.0,4.0,8.0,6.0,11.0,6.0,3.0,0.52,2.0,0.0,4.0,0.8087912087912088,-1.0
1415,2019-04-03T18:45:00+00:00,320,Chelsea,49,Brighton,51,315,0,1,4.0,3.0,12.0,5.0,6.0,6.0,13.0,2.0,1.0,0.45,2.0,0.0,3.0,0.8841121495327103,6.0,4.0,16.0,6.0,13.0,3.0,8.0,9.0,1.0,0.68,1.0,0.0,2.0,0.7899807321772641,1.0
1438,2019-04-20T14:00:00+00:00,402,Wolves,39,Brighton,51,395,1,0,2.0,8.0,17.0,7.0,8.0,9.0,8.0,9.0,2.0,0.7000000000000001,3.0,0.0,3.0,0.8079999999999999,1.0,3.0,8.0,4.0,1.0,7.0,10.0,4.0,1.0,0.5,2.0,1.0,2.0,0.7851063829787234,0.0
1444,2019-04-23T18:45:00+00:00,382,Tottenham,47,Brighton,51,376,1,0,2.0,7.0,11.0,2.0,6.0,5.0,8.0,3.0,2.0,0.52,1.0,0.0,2.0,0.8082474226804124,1.0,9.0,14.0,4.0,6.0,8.0,8.0,6.0,6.0,0.6,1.0,0.0,1.0,0.7390476190476191,1.0
1466,2019-05-05T15:30:00+00:00,419,Arsenal,42,Brighton,51,415,0,1,1.0,3.0,6.0,2.0,5.0,1.0,13.0,6.0,3.0,0.33,3.0,1.0,9.0,0.6416382252559727,2.0,5.0,9.0,2.0,7.0,2.0,7.0,7.0,3.0,0.49,2.0,0.0,0.0,0.8134490238611713,0.0
